,Sequence,Subpopulation,PlantHeight,Yield
0,124344244,Intermediate,125.2,35.185
1,124344244,Intermediate,125.2,35.185
2,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
3,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
4,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
5,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
6,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
7,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
8,124341444,Temperate Japonica,91.9857142857143,24.048571428571428
9,124311242,Tropical Japonica,127.97,32.975
10,124311242,Tropical Japonica,127.97,32.975
11,124311224,Temperate Japonica,100.82333333333334,23.683333333333334
12,124311224,Temperate Japonica,100.82333333333334,23.683333333333334
13,124311224,Temperate Japonica,100.82333333333334,23.683333333333334
14,124311244,Temperate Japonica,120.78,28.986
15,124311244,Temperate Japonica,120.78,28.986
16,124311244,Temperate Japonica,120.78,28.986
17,124311244,Temperate Japonica,120.78,28.986
18,124311244,Temperate Japonica,120.78,28.986
19,124341242,Japonica Intermediate,124.12,23.318
20,124341242,Japonica Intermediate,124.12,23.318
21,124341242,Japonica Intermediate,124.12,23.318
22,124341242,Japonica Intermediate,124.12,23.318
23,124341242,Japonica Intermediate,124.12,23.318
24,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
25,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
26,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
27,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
28,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
29,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
30,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
31,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
32,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
33,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
34,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
35,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
36,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
37,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
38,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
39,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
40,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
41,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
42,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
43,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
44,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
45,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
46,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
47,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
48,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
49,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
50,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
51,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
52,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
53,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
54,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
55,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
56,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
57,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
58,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
59,124341244,Temperate Japonica,99.38333333333333,23.665277777777774
60,122314244,Intermediate,149.8,46.26
61,324411222,Temperate Japonica,191.99666666666667,12.04
62,324411222,Temperate Japonica,191.99666666666667,12.04
63,324411222,Temperate Japonica,191.99666666666667,12.04
64,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
65,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
66,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
67,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
68,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
69,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
70,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
71,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
72,324311242,Temperate Japonica,165.34666666666666,15.903333333333332
73,324311222,Temperate Japonica,186.68,12.308
74,324311222,Temperate Japonica,186.68,12.308
75,324311222,Temperate Japonica,186.68,12.308
76,324311222,Temperate Japonica,186.68,12.308
77,324311222,Temperate Japonica,186.68,12.308
78,324311442,Tropical Japonica,150.4,29.366666666666667
79,324311442,Tropical Japonica,150.4,29.366666666666667
80,324311442,Tropical Japonica,150.4,29.366666666666667
81,324341442,Indica Intermediate,113.24625,34.2675
82,324341442,Indica Intermediate,113.24625,34.2675
83,324341442,Indica Intermediate,113.24625,34.2675
84,324341442,Indica Intermediate,113.24625,34.2675
85,324341442,Indica Intermediate,113.24625,34.2675
86,324341442,Indica Intermediate,113.24625,34.2675
87,324341442,Indica Intermediate,113.24625,34.2675
88,324341442,Indica Intermediate,113.24625,34.2675
89,324411442,Tropical Japonica,153.746,18.432
90,324411442,Tropical Japonica,153.746,18.432
91,324411442,Tropical Japonica,153.746,18.432
92,324411442,Tropical Japonica,153.746,18.432
93,324411442,Tropical Japonica,153.746,18.432
94,344341442,Indica Intermediate,154.87,12.4
95,324411244,Tropical Japonica,150.42333333333335,23.343333333333334
96,324411244,Tropical Japonica,150.42333333333335,23.343333333333334
97,324411244,Tropical Japonica,150.42333333333335,23.343333333333334
98,324311444,Tropical Japonica,144.1435,32.965
99,324311444,Tropical Japonica,144.1435,32.965
100,324311444,Tropical Japonica,144.1435,32.965
101,324311444,Tropical Japonica,144.1435,32.965
102,324311444,Tropical Japonica,144.1435,32.965
103,324311444,Tropical Japonica,144.1435,32.965
104,324311444,Tropical Japonica,144.1435,32.965
105,324311444,Tropical Japonica,144.1435,32.965
106,324311444,Tropical Japonica,144.1435,32.965
107,324311444,Tropical Japonica,144.1435,32.965
108,324311444,Tropical Japonica,144.1435,32.965
109,324311444,Tropical Japonica,144.1435,32.965
110,324311444,Tropical Japonica,144.1435,32.965
111,324311444,Tropical Japonica,144.1435,32.965
112,324311444,Tropical Japonica,144.1435,32.965
113,324311444,Tropical Japonica,144.1435,32.965
114,324311444,Tropical Japonica,144.1435,32.965
115,324311444,Tropical Japonica,144.1435,32.965
116,324311444,Tropical Japonica,144.1435,32.965
117,324311444,Tropical Japonica,144.1435,32.965
118,324311244,Temperate Japonica,137.94142857142856,26.3
119,324311244,Temperate Japonica,137.94142857142856,26.3
120,324311244,Temperate Japonica,137.94142857142856,26.3
121,324311244,Temperate Japonica,137.94142857142856,26.3
122,324311244,Temperate Japonica,137.94142857142856,26.3
123,324311244,Temperate Japonica,137.94142857142856,26.3
124,324311244,Temperate Japonica,137.94142857142856,26.3
125,324311424,Temperate Japonica,174.7,20.45
126,324341424,Indica I,91.45333333333332,21.006666666666668
127,324341424,Indica I,91.45333333333332,21.006666666666668
128,324341424,Indica I,91.45333333333332,21.006666666666668
129,324341444,Indica II,106.50850746268657,35.76880597014925
130,324341444,Indica II,106.50850746268657,35.76880597014925
131,324341444,Indica II,106.50850746268657,35.76880597014925
132,324341444,Indica II,106.50850746268657,35.76880597014925
133,324341444,Indica II,106.50850746268657,35.76880597014925
134,324341444,Indica II,106.50850746268657,35.76880597014925
135,324341444,Indica II,106.50850746268657,35.76880597014925
136,324341444,Indica II,106.50850746268657,35.76880597014925
137,324341444,Indica II,106.50850746268657,35.76880597014925
138,324341444,Indica II,106.50850746268657,35.76880597014925
139,324341444,Indica II,106.50850746268657,35.76880597014925
140,324341444,Indica II,106.50850746268657,35.76880597014925
141,324341444,Indica II,106.50850746268657,35.76880597014925
142,324341444,Indica II,106.50850746268657,35.76880597014925
143,324341444,Indica II,106.50850746268657,35.76880597014925
144,324341444,Indica II,106.50850746268657,35.76880597014925
145,324341444,Indica II,106.50850746268657,35.76880597014925
146,324341444,Indica II,106.50850746268657,35.76880597014925
147,324341444,Indica II,106.50850746268657,35.76880597014925
148,324341444,Indica II,106.50850746268657,35.76880597014925
149,324341444,Indica II,106.50850746268657,35.76880597014925
150,324341444,Indica II,106.50850746268657,35.76880597014925
151,324341444,Indica II,106.50850746268657,35.76880597014925
152,324341444,Indica II,106.50850746268657,35.76880597014925
153,324341444,Indica II,106.50850746268657,35.76880597014925
154,324341444,Indica II,106.50850746268657,35.76880597014925
155,324341444,Indica II,106.50850746268657,35.76880597014925
156,324341444,Indica II,106.50850746268657,35.76880597014925
157,324341444,Indica II,106.50850746268657,35.76880597014925
158,324341444,Indica II,106.50850746268657,35.76880597014925
159,324341444,Indica II,106.50850746268657,35.76880597014925
160,324341444,Indica II,106.50850746268657,35.76880597014925
161,324341444,Indica II,106.50850746268657,35.76880597014925
162,324341444,Indica II,106.50850746268657,35.76880597014925
163,324341444,Indica II,106.50850746268657,35.76880597014925
164,324341444,Indica II,106.50850746268657,35.76880597014925
165,324341444,Indica II,106.50850746268657,35.76880597014925
166,324341444,Indica II,106.50850746268657,35.76880597014925
167,324341444,Indica II,106.50850746268657,35.76880597014925
168,324341444,Indica II,106.50850746268657,35.76880597014925
169,324341444,Indica II,106.50850746268657,35.76880597014925
170,324341444,Indica II,106.50850746268657,35.76880597014925
171,324341444,Indica II,106.50850746268657,35.76880597014925
172,324341444,Indica II,106.50850746268657,35.76880597014925
173,324341444,Indica II,106.50850746268657,35.76880597014925
174,324341444,Indica II,106.50850746268657,35.76880597014925
175,324341444,Indica II,106.50850746268657,35.76880597014925
176,324341444,Indica II,106.50850746268657,35.76880597014925
177,324341444,Indica II,106.50850746268657,35.76880597014925
178,324341444,Indica II,106.50850746268657,35.76880597014925
179,324341444,Indica II,106.50850746268657,35.76880597014925
180,324341444,Indica II,106.50850746268657,35.76880597014925
181,324341444,Indica II,106.50850746268657,35.76880597014925
182,324341444,Indica II,106.50850746268657,35.76880597014925
183,324341444,Indica II,106.50850746268657,35.76880597014925
184,324341444,Indica II,106.50850746268657,35.76880597014925
185,324341444,Indica II,106.50850746268657,35.76880597014925
186,324341444,Indica II,106.50850746268657,35.76880597014925
187,324341444,Indica II,106.50850746268657,35.76880597014925
188,324341444,Indica II,106.50850746268657,35.76880597014925
189,324341444,Indica II,106.50850746268657,35.76880597014925
190,324341444,Indica II,106.50850746268657,35.76880597014925
191,324341444,Indica II,106.50850746268657,35.76880597014925
192,324341444,Indica II,106.50850746268657,35.76880597014925
193,324341444,Indica II,106.50850746268657,35.76880597014925
194,324341444,Indica II,106.50850746268657,35.76880597014925
195,324341444,Indica II,106.50850746268657,35.76880597014925
196,324344444,Indica II,110.88571428571429,44.75714285714286
197,324344444,Indica II,110.88571428571429,44.75714285714286
198,324344444,Indica II,110.88571428571429,44.75714285714286
199,324344444,Indica II,110.88571428571429,44.75714285714286
200,324344444,Indica II,110.88571428571429,44.75714285714286
201,324344444,Indica II,110.88571428571429,44.75714285714286
202,324344444,Indica II,110.88571428571429,44.75714285714286
203,124441424,Indica I,88.17666666666666,23.69333333333333
204,124441424,Indica I,88.17666666666666,23.69333333333333
205,124441424,Indica I,88.17666666666666,23.69333333333333
206,324441424,Indica I,96.64384615384616,26.891538461538463
207,324441424,Indica I,96.64384615384616,26.891538461538463
208,324441424,Indica I,96.64384615384616,26.891538461538463
209,324441424,Indica I,96.64384615384616,26.891538461538463
210,324441424,Indica I,96.64384615384616,26.891538461538463
211,324441424,Indica I,96.64384615384616,26.891538461538463
212,324441424,Indica I,96.64384615384616,26.891538461538463
213,324441424,Indica I,96.64384615384616,26.891538461538463
214,324441424,Indica I,96.64384615384616,26.891538461538463
215,324441424,Indica I,96.64384615384616,26.891538461538463
216,324441424,Indica I,96.64384615384616,26.891538461538463
217,324441424,Indica I,96.64384615384616,26.891538461538463
218,324441424,Indica I,96.64384615384616,26.891538461538463
219,322441424,Indica I,168.3,71.125
220,322441424,Indica I,168.3,71.125
221,324441422,Indica Intermediate,131.265,29.34
222,324441422,Indica Intermediate,131.265,29.34
223,322441422,Indica I,147.106,17.49
224,322441422,Indica I,147.106,17.49
225,322441422,Indica I,147.106,17.49
226,322441422,Indica I,147.106,17.49
227,322441422,Indica I,147.106,17.49
228,324444424,Indica Intermediate,122.87,33.095
229,324444424,Indica Intermediate,122.87,33.095
230,324444444,Indica Intermediate,134.65,27.06090909090909
231,324444444,Indica Intermediate,134.65,27.06090909090909
232,324444444,Indica Intermediate,134.65,27.06090909090909
233,324444444,Indica Intermediate,134.65,27.06090909090909
234,324444444,Indica Intermediate,134.65,27.06090909090909
235,324444444,Indica Intermediate,134.65,27.06090909090909
236,324444444,Indica Intermediate,134.65,27.06090909090909
237,324444444,Indica Intermediate,134.65,27.06090909090909
238,324444444,Indica Intermediate,134.65,27.06090909090909
239,324444444,Indica Intermediate,134.65,27.06090909090909
240,324444444,Indica Intermediate,134.65,27.06090909090909
241,324444442,Indica Intermediate,133.73333333333335,22.106666666666666
242,324444442,Indica Intermediate,133.73333333333335,22.106666666666666
243,324444442,Indica Intermediate,133.73333333333335,22.106666666666666
244,324444422,Indica I,156.07,28.038
245,324444422,Indica I,156.07,28.038
246,324444422,Indica I,156.07,28.038
247,324444422,Indica I,156.07,28.038
248,324444422,Indica I,156.07,28.038
249,324441242,Indica Intermediate,172.8,49.14
250,324441442,Indica Intermediate,135.024375,30.554375
251,324441442,Indica Intermediate,135.024375,30.554375
252,324441442,Indica Intermediate,135.024375,30.554375
253,324441442,Indica Intermediate,135.024375,30.554375
254,324441442,Indica Intermediate,135.024375,30.554375
255,324441442,Indica Intermediate,135.024375,30.554375
256,324441442,Indica Intermediate,135.024375,30.554375
257,324441442,Indica Intermediate,135.024375,30.554375
258,324441442,Indica Intermediate,135.024375,30.554375
259,324441442,Indica Intermediate,135.024375,30.554375
260,324441442,Indica Intermediate,135.024375,30.554375
261,324441442,Indica Intermediate,135.024375,30.554375
262,324441442,Indica Intermediate,135.024375,30.554375
263,324441442,Indica Intermediate,135.024375,30.554375
264,324441442,Indica Intermediate,135.024375,30.554375
265,324441442,Indica Intermediate,135.024375,30.554375
266,324441244,Indica Intermediate,108.4,29.78833333333333
267,324441244,Indica Intermediate,108.4,29.78833333333333
268,324441244,Indica Intermediate,108.4,29.78833333333333
269,324441244,Indica Intermediate,108.4,29.78833333333333
270,324441244,Indica Intermediate,108.4,29.78833333333333
271,324441244,Indica Intermediate,108.4,29.78833333333333
272,324441444,Indica II,105.26358208955224,35.967014925373135
273,324441444,Indica II,105.26358208955224,35.967014925373135
274,324441444,Indica II,105.26358208955224,35.967014925373135
275,324441444,Indica II,105.26358208955224,35.967014925373135
276,324441444,Indica II,105.26358208955224,35.967014925373135
277,324441444,Indica II,105.26358208955224,35.967014925373135
278,324441444,Indica II,105.26358208955224,35.967014925373135
279,324441444,Indica II,105.26358208955224,35.967014925373135
280,324441444,Indica II,105.26358208955224,35.967014925373135
281,324441444,Indica II,105.26358208955224,35.967014925373135
282,324441444,Indica II,105.26358208955224,35.967014925373135
283,324441444,Indica II,105.26358208955224,35.967014925373135
284,324441444,Indica II,105.26358208955224,35.967014925373135
285,324441444,Indica II,105.26358208955224,35.967014925373135
286,324441444,Indica II,105.26358208955224,35.967014925373135
287,324441444,Indica II,105.26358208955224,35.967014925373135
288,324441444,Indica II,105.26358208955224,35.967014925373135
289,324441444,Indica II,105.26358208955224,35.967014925373135
290,324441444,Indica II,105.26358208955224,35.967014925373135
291,324441444,Indica II,105.26358208955224,35.967014925373135
292,324441444,Indica II,105.26358208955224,35.967014925373135
293,324441444,Indica II,105.26358208955224,35.967014925373135
294,324441444,Indica II,105.26358208955224,35.967014925373135
295,324441444,Indica II,105.26358208955224,35.967014925373135
296,324441444,Indica II,105.26358208955224,35.967014925373135
297,324441444,Indica II,105.26358208955224,35.967014925373135
298,324441444,Indica II,105.26358208955224,35.967014925373135
299,324441444,Indica II,105.26358208955224,35.967014925373135
300,324441444,Indica II,105.26358208955224,35.967014925373135
301,324441444,Indica II,105.26358208955224,35.967014925373135
302,324441444,Indica II,105.26358208955224,35.967014925373135
303,324441444,Indica II,105.26358208955224,35.967014925373135
304,324441444,Indica II,105.26358208955224,35.967014925373135
305,324441444,Indica II,105.26358208955224,35.967014925373135
306,324441444,Indica II,105.26358208955224,35.967014925373135
307,324441444,Indica II,105.26358208955224,35.967014925373135
308,324441444,Indica II,105.26358208955224,35.967014925373135
309,324441444,Indica II,105.26358208955224,35.967014925373135
310,324441444,Indica II,105.26358208955224,35.967014925373135
311,324441444,Indica II,105.26358208955224,35.967014925373135
312,324441444,Indica II,105.26358208955224,35.967014925373135
313,324441444,Indica II,105.26358208955224,35.967014925373135
314,324441444,Indica II,105.26358208955224,35.967014925373135
315,324441444,Indica II,105.26358208955224,35.967014925373135
316,324441444,Indica II,105.26358208955224,35.967014925373135
317,324441444,Indica II,105.26358208955224,35.967014925373135
318,324441444,Indica II,105.26358208955224,35.967014925373135
319,324441444,Indica II,105.26358208955224,35.967014925373135
320,324441444,Indica II,105.26358208955224,35.967014925373135
321,324441444,Indica II,105.26358208955224,35.967014925373135
322,324441444,Indica II,105.26358208955224,35.967014925373135
323,324441444,Indica II,105.26358208955224,35.967014925373135
324,324441444,Indica II,105.26358208955224,35.967014925373135
325,324441444,Indica II,105.26358208955224,35.967014925373135
326,324441444,Indica II,105.26358208955224,35.967014925373135
327,324441444,Indica II,105.26358208955224,35.967014925373135
328,324441444,Indica II,105.26358208955224,35.967014925373135
329,324441444,Indica II,105.26358208955224,35.967014925373135
330,324441444,Indica II,105.26358208955224,35.967014925373135
331,324441444,Indica II,105.26358208955224,35.967014925373135
332,324441444,Indica II,105.26358208955224,35.967014925373135
333,324441444,Indica II,105.26358208955224,35.967014925373135
334,324441444,Indica II,105.26358208955224,35.967014925373135
335,324441444,Indica II,105.26358208955224,35.967014925373135
336,324441444,Indica II,105.26358208955224,35.967014925373135
337,324441444,Indica II,105.26358208955224,35.967014925373135
338,324441444,Indica II,105.26358208955224,35.967014925373135
339,322344424,Intermediate,142.1,31.185
340,322344424,Intermediate,142.1,31.185
341,322344224,VI/Aromatic,158.0,29.41
342,322344222,Aus,162.775,38.5775
343,322344222,Aus,162.775,38.5775
344,322344222,Aus,162.775,38.5775
345,322344222,Aus,162.775,38.5775
346,322344222,Aus,162.775,38.5775
347,322344222,Aus,162.775,38.5775
348,322344222,Aus,162.775,38.5775
349,322344222,Aus,162.775,38.5775
350,324344222,VI/Aromatic,129.6,28.41
351,324444222,Intermediate,138.265,30.69
352,324444222,Intermediate,138.265,30.69
353,322444422,Indica I,176.33,16.82
354,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
355,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
356,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
357,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
358,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
359,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
360,322444222,VI/Aromatic,166.34571428571428,29.335714285714285
361,324344442,Indica I,142.91166666666666,26.488333333333333
362,324344442,Indica I,142.91166666666666,26.488333333333333
363,324344442,Indica I,142.91166666666666,26.488333333333333
364,324344442,Indica I,142.91166666666666,26.488333333333333
365,324344442,Indica I,142.91166666666666,26.488333333333333
366,324344442,Indica I,142.91166666666666,26.488333333333333
367,322344442,Indica I,153.9425,35.4475
368,322344442,Indica I,153.9425,35.4475
369,322344442,Indica I,153.9425,35.4475
370,322344442,Indica I,153.9425,35.4475
371,342344242,Aus,164.2,29.82
372,322344242,Aus,154.8842105263158,37.374736842105264
373,322344242,Aus,154.8842105263158,37.374736842105264
374,322344242,Aus,154.8842105263158,37.374736842105264
